"BBG",0.78,2.43,-0.23,410.86M,3.83,6.73,6.29
"AVEO",12.1319,7.2263,0.0000,41.13M,3.3600,0.5702,0.8517
"BBND",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AVGO",3.76,5.36,0.85,71.82B,1.68,178.42,167.41
"BBNK",N/A,N/A,0.00,N/A,0.00,N/A,25.33
"AVID",N/A,0.33,0.17,176.31M,2.59,4.32,6.67
"BBOX",1.59,0.26,1.59,243.13M,9.09,15.45,13.76
"AVII",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BBRG",1.20,0.15,2.41,58.90M,5.57,4.15,5.66
"AVNR",N/A,N/A,0,N/A,0,N/A,15
"BBSI",7.36,0.56,0.00,458.63M,1.88,63.41,46.67
"AVNW",1.40,0.30,0.00,73.02M,1.02,14.02,9.00
"BBT",1.40,3.78,3.04,38.02B,2.31,46.59,38.73
"AVP",N/A,0.41,0.14,2.45B,3.34,5.33,5.18
"BBW",2.34,0.62,0.66,232.23M,13.51,14.90,12.80
"AVT",1.28,0.24,2.42,6.17B,3.11,48.01,42.15
"BBY",3.45,0.37,1.15,14.61B,4.89,47.00,37.03
"AVTR",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BC",3.41,1.11,1.05,4.93B,3.29,54.52,47.88
"AVX",1.20,2.13,2.52,2.66B,5.35,15.71,14.03
"BCO",5.68,0.71,2.10,2.09B,2.08,42.55,35.60
"AVY",6.16,1.07,1.68,6.34B,4.25,71.94,74.86
"BCPC",5.13,4.86,1.44,2.62B,10.30,83.46,69.90
"AWH",1.10,1.49,-1.40,4.50B,1.43,45.77,40.92
"BCR",9.44,4.50,1.87,16.20B,2.30,221.03,221.87
"AWI",9.06,0.97,1.00,2.39B,9.03,42.45,41.10
"BCRX",114.63,20.78,-0.34,505.24M,8.22,6.19,4.22
"AWK",2.48,3.95,3.38,13.05B,4.41,72.88,75.94
"BCSI",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AWR",3.35,3.74,6.39,1.67B,6.12,44.94,41.22
"BDC",2.30,1.38,3.75,3.27B,7.65,76.89,68.71
"AXAS",14.65,7.85,-1.42,340.64M,3.80,2.52,1.52
"BDE",N/A,N/A,-15.33,N/A,0.00,5.75,4.93
